Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Chicken liver, fried",Liver and organ meats,189,19.98,6.41,0.02,0.2,8.66,2.562,2.703,2.385,392,0.286,1.851,9.231,0.584,7,199.5,16.3,0.0,0.99,0.0,11,312,20,10.04,3.08,0.57,230,443,0,0,0.0,62.74
"Liver paste or pate, chicken",Liver and organ meats,201,13.45,6.55,0.0,0.0,13.1,4.0,5.28,2.46,391,0.052,1.401,7.517,0.26,0,228.8,10.0,0.0,0.98,0.0,10,175,13,9.19,2.14,0.18,95,386,0,0,0.0,65.64
"Heart, cooked",Liver and organ meats,164,28.24,0.15,0.0,0.0,4.69,1.392,1.003,0.977,210,0.1,1.2,6.624,0.243,0,226.9,0.0,0.1,0.29,0.0,5,252,21,6.33,2.85,0.554,217,381,0,0,0.0,65.13
"Kidney, cooked",Liver and organ meats,157,27.04,0.0,0.0,0.0,4.61,1.427,0.952,1.129,710,0.159,2.945,3.887,0.388,0,508.9,0.0,1.1,0.08,0.0,19,301,12,5.75,2.82,0.559,134,416,0,0,0.0,66.33
"Sweetbreads, cooked",Liver and organ meats,124,22.48,0.0,0.0,0.0,3.08,0.934,0.895,0.312,347,0.054,0.099,3.352,0.027,0,207.6,39.1,0.0,0.09,0.0,4,622,24,1.23,2.11,0.071,431,381,0,0,0.0,73.02
"Brains, cooked",Liver and organ meats,150,11.57,1.47,0.0,0.0,10.44,2.374,1.866,1.618,3074,0.068,0.215,3.59,0.142,0,486.8,10.4,0.0,1.66,0.0,9,332,12,2.28,1.08,0.228,242,429,0,0,0.0,74.24
"Tongue, cooked",Liver and organ meats,282,19.13,0.0,0.0,0.0,22.11,8.057,10.018,0.74,131,0.022,0.292,3.461,0.154,0,153.7,1.3,0.4,0.3,0.0,5,144,15,2.59,4.06,0.147,182,387,0,0,0.0,57.39
"Tongue, smoked, cured, or pickled, cooked",Cold cuts and cured meats,277,18.8,0.0,0.0,0.0,21.74,7.919,9.846,0.727,129,0.021,0.287,3.402,0.151,0,151.1,1.3,0.4,0.29,0.0,6,141,15,2.54,3.99,0.144,179,1044,0,0,0.0,56.41
"Tongue pot roast, Puerto Rican style",Liver and organ meats,317,21.03,0.34,0.02,0.1,25.04,8.947,11.557,0.898,144,0.021,0.322,3.43,0.102,0,168.7,1.3,0.4,0.48,0.0,16,159,18,2.94,4.47,0.176,206,1245,0,0,0.0,49.82
"Tripe, cooked",Liver and organ meats,89,12.6,0.0,0.0,0.0,3.85,1.348,1.6,0.188,127,0.0,0.067,0.828,0.008,0,203.3,0.0,0.0,0.09,0.0,72,67,14,0.62,1.48,0.073,70,441,0,0,0.0,82.59
"Chitterlings, cooked",Liver and organ meats,231,12.39,0.0,0.0,0.0,20.15,9.441,7.014,1.207,275,0.014,0.046,0.086,0.0,0,467.1,0.0,0.0,0.23,0.0,25,65,9,1.46,1.84,0.046,14,340,0,0,0.0,67.31
"Hog maws, cooked",Liver and organ meats,250,26.52,0.0,0.0,0.0,15.96,6.336,5.651,1.404,351,0.052,0.174,1.757,0.024,0,306.6,0.0,0.0,0.06,0.0,17,143,10,0.95,2.62,0.2,99,565,0,0,0.0,56.97
"Gizzard, cooked",Liver and organ meats,153,30.14,0.0,0.0,0.0,2.66,0.664,0.524,0.35,367,0.026,0.208,3.094,0.07,0,103.5,0.0,0.0,0.2,0.0,17,187,3,3.16,4.38,0.16,178,378,0,0,0.0,67.37
"Frankfurter or hot dog, NFS",Frankfurters,331,12.32,3.04,1.33,0.0,29.47,12.0,12.737,1.004,61,0.03,0.154,2.132,0.109,0,33.6,0.0,0.9,0.54,0.0,16,128,12,1.2,2.17,0.048,343,872,0,0,0.0,52.21
"Frankfurter or hot dog, cheese-filled",Frankfurters,305,11.66,5.01,2.64,0.0,26.49,9.205,10.19,5.227,84,0.048,0.184,2.67,0.067,0,49.3,21.3,0.7,0.5,0.0,175,214,13,1.0,1.47,0.043,348,993,0,0,0.0,53.14
"Frankfurter or hot dog, beef",Frankfurters,331,12.32,3.04,1.33,0.0,29.47,12.0,12.737,1.004,61,0.03,0.154,2.132,0.109,0,33.6,0.0,0.9,0.54,0.0,16,128,12,1.2,2.17,0.048,343,872,0,0,0.0,52.21
"Frankfurter or hot dog, beef and pork",Frankfurters,292,10.23,5.28,2.9,0.0,25.45,7.982,10.452,5.669,82,0.042,0.145,2.665,0.053,0,52.8,18.9,0.7,0.46,0.0,112,175,11,1.1,1.2,0.044,359,976,0,0,0.0,55.35
"Frankfurter or hot dog, beef and pork, reduced fat or light",Frankfurters,292,10.23,5.28,2.9,0.0,25.45,7.982,10.452,5.669,82,0.042,0.145,2.665,0.053,0,52.8,18.9,0.7,0.46,0.0,112,175,11,1.1,1.2,0.044,359,976,0,0,0.0,55.35
"Frankfurter or hot dog, meat and poultry, fat free",Frankfurters,115,13.16,11.8,0.0,0.0,1.67,0.526,0.779,0.368,43,0.145,0.154,3.284,0.152,0,78.8,20.2,0.1,0.0,0.0,57,132,14,1.87,3.07,0.123,220,880,0,0,0.0,70.0
"Frankfurter or hot dog, meat and poultry",Frankfurters,292,10.23,5.28,2.9,0.0,25.45,7.982,10.452,5.669,82,0.042,0.145,2.665,0.053,0,52.8,18.9,0.7,0.46,0.0,112,175,11,1.1,1.2,0.044,359,976,0,0,0.0,55.35
"Frankfurter or hot dog, meat and poultry, reduced fat or light",Frankfurters,127,16.32,8.84,0.0,0.1,2.95,1.021,1.253,0.379,46,0.268,0.17,2.994,0.227,0,80.0,0.3,0.1,0.21,0.0,13,155,18,0.96,2.03,0.066,261,983,0,0,0.0,68.32
"Frankfurter or hot dog, chicken",Frankfurters,235,12.87,4.01,1.27,0.0,18.2,4.24,6.038,4.157,81,0.032,0.181,3.486,0.12,1,50.9,0.0,0.6,0.65,0.0,156,172,14,1.55,1.94,0.075,392,911,0,0,0.0,61.04
"Frankfurter or hot dog, turkey",Frankfurters,235,12.87,4.01,1.27,0.0,18.2,4.24,6.038,4.157,81,0.032,0.181,3.486,0.12,1,50.9,0.0,0.6,0.65,0.0,156,172,14,1.55,1.94,0.075,392,911,0,0,0.0,61.04
"Frankfurter or hot dog, beef, reduced fat or light",Frankfurters,127,16.32,8.84,0.0,0.1,2.95,1.021,1.253,0.379,46,0.268,0.17,2.994,0.227,0,80.0,0.3,0.1,0.21,0.0,13,155,18,0.96,2.03,0.066,261,983,0,0,0.0,68.32
"Frankfurter or hot dog, reduced fat or light, NFS",Frankfurters,127,16.32,8.84,0.0,0.1,2.95,1.021,1.253,0.379,46,0.268,0.17,2.994,0.227,0,80.0,0.3,0.1,0.21,0.0,13,155,18,0.96,2.03,0.066,261,983,0,0,0.0,68.32
Beef sausage,Sausages,328,13.3,3.37,1.0,0.0,28.7,11.3,12.7,1.91,61,0.054,0.132,2.43,0.15,0,38.3,19.2,0.1,0.33,0.0,35,124,20,1.55,2.14,0.075,263,866,0,0,0.0,51.7
"Beef sausage, reduced fat",Sausages,267,20.94,0.15,0.0,0.0,20.32,6.034,8.02,4.192,82,0.358,0.21,7.737,0.268,0,66.8,0.0,1.4,1.22,0.0,19,185,22,1.91,3.14,0.088,328,698,0,0,0.0,55.88
"Beef sausage, reduced sodium",Sausages,233,19.93,13.25,0.75,0.0,11.13,2.916,4.8,2.882,39,0.368,0.436,11.957,0.498,0,45.6,0.0,0.4,1.44,0.0,0,266,40,1.2,2.24,0.418,988,415,0,0,0.0,52.1
Beef sausage with cheese,Sausages,332,13.78,3.4,1.13,0.0,29.01,11.976,12.254,1.848,65,0.048,0.142,2.195,0.134,0,36.4,16.4,0.2,0.38,0.0,136,176,20,1.46,2.17,0.072,250,946,0,0,0.0,50.49
Blood sausage,Sausages,379,14.6,1.29,1.29,0.0,34.5,13.4,15.9,3.46,120,0.07,0.13,1.2,0.04,0,72.8,0.0,1.3,0.13,0.0,6,22,8,6.4,1.3,0.04,38,680,0,0,0.0,47.3
Bratwurst,Sausages,333,13.72,2.85,0.0,0.0,29.18,9.998,14.692,2.632,74,0.459,0.307,4.795,0.327,0,94.0,0.0,1.1,0.26,0.0,28,208,21,0.53,3.25,0.104,348,846,0,0,0.0,51.45
"Bratwurst, with cheese",Sausages,337,14.16,2.94,0.23,0.0,29.44,10.804,14.046,2.497,77,0.415,0.3,4.323,0.3,0,88.2,0.0,1.0,0.31,0.0,130,251,22,0.54,3.17,0.098,326,928,0,0,0.0,50.27
"Bologna, NFS",Cold cuts and cured meats,281,10.34,6.31,1.97,0.0,23.77,7.389,10.269,4.59,92,0.047,0.158,3.187,0.193,0,59.3,0.0,0.8,0.59,0.0,125,212,15,1.24,1.06,0.035,320,1379,0,0,0.0,55.93
"Bologna, made from any kind of meat, reduced fat",Cold cuts and cured meats,204,11.8,5.2,0.0,0.0,14.8,5.464,6.455,0.51,44,0.05,0.1,2.5,0.15,0,53.3,1.0,0.4,0.19,0.0,9,178,12,1.0,1.83,0.03,147,821,0,0,0.0,65.0
"Bologna, made from any kind of meat, reduced sodium",Cold cuts and cured meats,281,10.34,6.31,1.97,0.0,23.77,7.389,10.269,4.59,92,0.047,0.158,3.187,0.193,0,59.3,0.0,0.8,0.59,0.0,125,212,15,1.24,1.06,0.035,320,1034,0,0,0.0,55.93
"Bologna, made from any kind of meat, reduced fat and reduced sodium",Cold cuts and cured meats,204,11.8,5.2,0.0,0.0,14.8,5.464,6.455,0.51,44,0.05,0.1,2.5,0.15,0,53.3,1.0,0.4,0.19,0.0,9,178,12,1.0,1.83,0.03,147,821,0,0,0.0,65.0
Turkey or chicken and beef sausage,Sausages,263,16.47,2.23,0.5,0.0,20.47,7.138,8.156,2.808,76,0.054,0.24,4.168,0.272,0,54.2,9.6,0.3,0.31,0.0,36,167,21,1.46,2.59,0.078,314,785,0,0,0.0,57.97
Chorizo,Sausages,346,19.3,2.63,0.0,0.0,28.1,9.45,11.7,4.74,107,0.365,0.42,7.06,0.554,0,97.1,0.0,1.5,1.5,0.0,37,207,30,2.34,2.19,0.13,435,983,0,0,0.0,46.3
Head cheese,Cold cuts and cured meats,157,13.83,0.0,0.0,0.0,10.9,3.402,5.601,1.134,69,0.023,0.115,0.44,0.19,0,104.1,0.0,0.9,0.25,0.0,16,56,9,1.5,0.97,0.122,31,941,0,0,0.0,73.84
Knockwurst,Sausages,307,11.1,3.2,0.0,0.0,27.7,10.21,12.81,2.92,60,0.342,0.14,2.734,0.17,0,55.0,0.0,1.1,0.57,0.0,11,98,11,0.66,1.66,0.06,199,930,0,0,0.0,55.3
Mortadella,Cold cuts and cured meats,311,16.37,3.05,0.0,0.0,25.39,9.51,11.38,3.12,56,0.119,0.153,2.673,0.13,0,72.2,0.0,1.0,0.22,0.0,18,97,11,1.4,2.1,0.06,163,1246,0,0,0.0,52.3
"Pastrami, NFS",Cold cuts and cured meats,147,21.8,0.36,0.1,0.0,5.82,2.681,2.118,0.145,68,0.052,0.161,4.26,0.221,0,81.6,0.3,0.1,0.12,0.0,10,175,17,2.22,4.98,0.091,210,1078,0,0,0.0,69.53
"Pastrami, made from any kind of meat, reduced fat",Cold cuts and cured meats,115,18.62,0.64,0.29,0.0,3.69,1.318,1.521,0.27,51,0.043,0.213,5.581,0.46,0,43.9,0.0,0.0,0.49,0.0,5,242,20,2.05,3.2,0.086,647,853,0,0,0.0,73.72
"Pepperoni, NFS",Cold cuts and cured meats,504,19.25,1.18,0.0,0.0,46.28,17.708,20.77,4.458,97,0.271,0.257,4.987,0.362,0,51.2,0.0,1.3,1.03,0.0,19,158,18,1.33,2.44,0.091,274,1582,0,0,0.0,28.55
"Pepperoni, reduced fat",Cold cuts and cured meats,378,21.07,0.72,0.26,0.0,31.65,11.418,14.717,4.895,108,0.386,0.196,6.105,0.441,0,72.6,0.0,0.9,0.64,0.0,24,192,20,1.36,2.67,0.096,363,1756,0,0,0.0,41.19
"Pepperoni, reduced sodium",Cold cuts and cured meats,504,19.25,1.18,0.0,0.0,46.28,17.708,20.77,4.458,97,0.271,0.257,4.987,0.362,0,51.2,0.0,1.3,1.03,0.0,19,158,18,1.33,2.44,0.091,274,1187,0,0,0.0,28.55
Polish sausage,Sausages,337,12.45,5.03,2.39,0.0,29.68,9.894,12.564,5.383,73,0.15,0.212,3.727,0.097,0,41.8,14.7,0.9,0.38,0.0,42,204,16,0.99,1.53,0.056,306,1062,0,0,0.0,49.38
Italian sausage,Sausages,322,18.2,2.15,1.46,0.0,26.2,9.15,11.6,4.96,80,0.31,0.242,5.73,0.343,0,70.4,0.0,1.0,0.8,0.0,12,145,19,1.29,2.41,0.074,310,766,0,0,0.0,50.9
"Sausage, NFS",Sausages,325,18.53,1.42,1.09,0.0,27.25,8.826,11.541,5.115,86,0.256,0.176,6.119,0.195,0,62.3,0.0,1.4,0.9,0.0,9,149,16,1.2,2.45,0.071,342,814,0,0,0.0,49.89
Pork sausage,Sausages,325,18.53,1.42,1.09,0.0,27.25,8.826,11.541,5.115,86,0.256,0.176,6.119,0.195,0,62.3,0.0,1.4,0.9,0.0,9,149,16,1.2,2.45,0.071,342,814,0,0,0.0,49.89
"Pork sausage, reduced fat",Sausages,267,20.94,0.15,0.0,0.0,20.32,6.034,8.02,4.192,82,0.377,0.21,7.737,0.282,0,70.3,0.0,1.4,1.22,0.0,19,185,22,1.91,3.14,0.088,328,698,0,0,0.0,55.88
"Pork sausage, reduced sodium",Sausages,233,19.93,13.25,0.75,0.0,11.13,2.916,4.8,2.882,39,0.368,0.436,11.957,0.498,0,45.6,0.0,0.4,1.44,0.0,0,266,40,1.2,2.24,0.418,988,415,0,0,0.0,52.1
Pork sausage rice links,Sausages,267,20.94,0.15,0.0,0.0,20.32,6.034,8.02,4.192,82,0.377,0.21,7.737,0.282,0,70.3,0.0,1.4,1.22,0.0,19,185,22,1.91,3.14,0.088,328,698,0,0,0.0,55.88
Pork and beef sausage,Sausages,326,15.92,2.4,1.04,0.0,27.98,10.063,12.12,3.512,74,0.155,0.154,4.274,0.172,0,50.3,9.6,0.8,0.62,0.0,22,136,18,1.38,2.3,0.073,302,840,0,0,0.0,50.8
"Salami, NFS",Cold cuts and cured meats,378,21.07,0.72,0.26,0.0,31.65,11.418,14.717,4.895,108,0.386,0.196,6.105,0.441,0,72.6,0.0,0.9,0.64,0.0,24,192,20,1.36,2.67,0.096,363,1756,0,0,0.0,41.19
"Salami, made from any type of meat, reduced fat",Cold cuts and cured meats,172,19.2,1.55,1.12,0.1,9.21,2.783,3.172,2.466,76,0.426,0.303,3.979,0.427,0,53.1,0.0,0.6,0.24,0.0,40,266,22,1.25,2.32,0.19,216,1107,0,0,0.0,68.8
"Salami, made from any type of meat, reduced sodium",Cold cuts and cured meats,378,21.07,0.72,0.26,0.0,31.65,11.418,14.717,4.895,108,0.386,0.196,6.105,0.441,0,72.6,0.0,0.9,0.64,0.0,24,192,20,1.36,2.67,0.096,363,1317,0,0,0.0,41.19
"Scrapple, cooked",Sausages,227,8.57,14.96,0.21,0.3,14.76,5.034,6.549,1.77,52,0.08,0.229,1.814,0.077,0,73.2,1.3,0.3,0.16,0.0,6,61,10,1.31,0.85,0.214,143,385,0,0,0.0,60.07
Thuringer,Sausages,362,17.45,3.33,0.85,0.0,30.43,11.51,12.97,1.2,74,0.15,0.33,4.31,0.26,0,78.9,16.6,1.1,0.22,0.0,9,111,14,2.04,2.56,0.15,260,1300,0,0,0.0,45.18
Turkey or chicken sausage,Sausages,199,19.65,1.09,0.0,0.0,12.24,2.976,3.612,3.706,92,0.055,0.348,5.906,0.394,0,70.1,0.0,0.5,0.28,0.0,38,209,22,1.38,3.04,0.082,365,705,0,0,0.0,64.24
"Turkey or chicken sausage, reduced sodium",Sausages,230,20.03,13.32,0.76,0.0,10.7,2.784,4.604,2.793,39,0.37,0.438,12.016,0.501,0,45.2,0.0,0.4,1.44,0.0,0,267,40,1.21,2.25,0.42,993,417,0,0,0.0,52.36
"Turkey or chicken sausage, reduced fat",Sausages,199,19.65,1.09,0.0,0.0,12.24,2.976,3.612,3.706,92,0.055,0.348,5.906,0.394,0,70.1,0.0,0.5,0.28,0.0,38,209,22,1.38,3.04,0.082,365,705,0,0,0.0,64.24
Turkey or chicken and pork sausage,Sausages,307,22.7,0.7,0.0,0.0,23.0,7.95,9.719,3.25,84,0.51,0.25,4.22,0.34,0,79.9,1.1,2.0,0.39,0.0,32,191,19,1.62,3.17,0.148,337,878,0,0,0.0,50.9
"Turkey or chicken, pork, and beef sausage, reduced sodium",Sausages,233,19.93,13.25,0.75,0.0,11.13,2.916,4.8,2.882,39,0.368,0.436,11.957,0.498,0,45.6,0.0,0.4,1.44,0.0,0,266,40,1.2,2.24,0.418,988,415,0,0,0.0,52.1
"Vienna sausage, canned",Sausages,230,10.5,2.6,0.0,0.0,19.4,7.125,9.628,1.29,87,0.087,0.107,1.613,0.12,0,43.7,0.0,0.6,0.22,0.0,10,49,7,0.88,1.6,0.03,101,879,0,0,0.0,64.9
Pickled sausage,Sausages,319,18.06,2.13,1.45,0.0,25.99,9.077,11.508,4.921,79,0.308,0.24,5.685,0.34,0,69.8,0.0,1.0,0.79,0.0,12,144,18,1.28,2.39,0.073,308,1067,0,0,0.0,50.5
"Luncheon meat, NFS",Cold cuts and cured meats,106,16.7,0.27,0.0,0.0,3.73,1.12,1.47,0.544,41,0.336,0.266,5.697,0.394,0,62.4,0.0,0.6,0.29,0.0,5,261,19,0.58,1.52,0.05,425,1040,0,0,0.0,75.7
"Ham, prepackaged or deli, luncheon meat",Cold cuts and cured meats,106,16.7,0.27,0.0,0.0,3.73,1.12,1.47,0.544,41,0.336,0.266,5.697,0.394,0,62.4,0.0,0.6,0.29,0.0,5,261,19,0.58,1.52,0.05,425,1040,0,0,0.0,75.7
"Ham, prepackaged or deli, luncheon meat, reduced sodium",Cold cuts and cured meats,106,16.7,0.27,0.0,0.0,3.73,1.12,1.47,0.544,41,0.336,0.266,5.697,0.394,0,62.4,0.0,0.6,0.29,0.0,5,261,19,0.58,1.52,0.05,425,780,0,0,0.0,75.7
"Chicken, prepackaged or deli, luncheon meat",Cold cuts and cured meats,98,17.4,2.92,0.75,0.0,1.86,0.564,0.74,0.452,51,0.048,0.071,9.055,0.445,0,44.2,0.0,0.1,0.32,0.0,11,257,26,0.39,0.51,0.02,360,1032,0,0,0.0,74.47
"Chicken, prepackaged or deli, luncheon meat, reduced sodium",Cold cuts and cured meats,98,17.4,2.92,0.75,0.0,1.86,0.564,0.74,0.452,51,0.048,0.071,9.055,0.445,0,44.2,0.0,0.1,0.32,0.0,11,257,26,0.39,0.51,0.02,360,774,0,0,0.0,74.47
"Ham luncheon meat, loaf type",Cold cuts and cured meats,117,17.99,1.57,1.57,0.0,4.39,1.424,1.983,0.542,53,0.362,0.183,5.797,0.394,0,74.2,0.0,0.7,0.2,0.0,9,270,19,0.82,1.82,0.091,316,1193,0,0,0.0,72.58
"Ham and pork, canned luncheon meat, chopped, minced, pressed, spiced",Cold cuts and cured meats,315,13.4,4.6,0.0,0.0,26.6,9.987,13.505,2.019,71,0.317,0.176,3.53,0.218,0,68.5,0.0,0.6,0.42,0.0,0,151,14,0.64,1.59,0.051,409,1411,0,0,0.0,51.7
"Ham, pork and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced fat and reduced sodium",Cold cuts and cured meats,293,12.5,3.4,0.0,0.0,25.1,8.873,12.34,2.666,76,0.264,0.179,3.175,0.283,0,61.2,43.0,0.6,0.24,0.0,0,109,14,0.64,2.12,0.046,564,1036,0,0,0.0,55.5
"Ham, pork, and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced sodium",Cold cuts and cured meats,293,12.5,3.4,0.0,0.0,25.1,8.873,12.34,2.666,76,0.264,0.179,3.175,0.283,0,61.2,43.0,0.6,0.24,0.0,0,109,14,0.64,2.12,0.046,564,1036,0,0,0.0,55.5
Liverwurst,Cold cuts and cured meats,327,14.5,3.1,0.0,0.0,28.5,9.307,12.731,3.193,180,0.249,1.525,8.368,0.33,0,255.9,0.0,1.2,0.35,0.0,9,168,11,11.2,2.81,0.24,199,977,0,0,0.0,50.6
"Luncheon meat, loaf type",Cold cuts and cured meats,225,11.23,8.46,8.46,1.5,15.95,5.287,7.06,2.804,58,0.392,0.115,2.486,0.418,0,31.7,7.8,0.8,0.4,0.0,109,153,34,1.33,1.68,0.105,371,1040,0,0,0.0,60.29
"Turkey, prepackaged or deli, luncheon meat",Cold cuts and cured meats,106,14.81,2.2,0.91,0.0,3.77,0.906,1.145,1.024,49,0.038,0.145,7.15,0.41,0,30.1,0.0,0.2,0.13,0.0,14,249,19,0.42,0.94,0.024,371,898,0,0,0.0,75.98
"Turkey, prepackaged or deli, luncheon meat, reduced sodium",Cold cuts and cured meats,106,14.81,2.2,0.91,0.0,3.77,0.906,1.145,1.024,49,0.038,0.145,7.15,0.41,0,30.1,0.0,0.2,0.13,0.0,14,249,19,0.42,0.94,0.024,371,674,0,0,0.0,75.98
"Turkey ham, prepackaged or deli, luncheon meat",Cold cuts and cured meats,124,19.6,2.93,0.0,0.0,3.8,1.09,0.864,1.148,67,0.05,0.25,3.53,0.23,0,59.1,0.0,0.0,0.39,0.0,5,304,20,1.35,2.36,0.11,299,1038,0,0,0.0,72.0
"Beef, prepackaged or deli, luncheon meat",Cold cuts and cured meats,115,18.62,0.64,0.29,0.0,3.69,1.318,1.521,0.27,51,0.043,0.213,5.581,0.46,0,43.9,0.0,0.0,0.49,0.0,5,242,20,2.05,3.2,0.086,647,853,0,0,0.0,73.72
"Beef, prepackaged or deli, luncheon meat, reduced sodium",Cold cuts and cured meats,115,18.62,0.64,0.29,0.0,3.69,1.318,1.521,0.27,51,0.043,0.213,5.581,0.46,0,43.9,0.0,0.0,0.49,0.0,5,242,20,2.05,3.2,0.086,647,640,0,0,0.0,73.72
"Meat spread or potted meat, NFS",Cold cuts and cured meats,235,7.66,11.94,0.0,0.2,17.34,5.977,7.584,2.565,38,0.172,0.134,1.73,0.12,0,62.3,0.0,0.6,1.74,0.0,12,59,8,0.79,1.02,0.13,110,1013,0,0,0.0,60.28
Chicken salad spread,Cold cuts and cured meats,200,11.64,7.41,0.0,0.0,13.52,3.45,3.25,6.22,30,0.024,0.071,1.669,0.11,0,49.6,1.0,0.2,2.2,0.0,10,33,10,0.61,1.04,0.03,183,653,0,0,0.0,66.17
Ham salad spread,Cold cuts and cured meats,216,8.68,10.64,0.0,0.0,15.53,5.049,7.171,2.689,37,0.435,0.12,2.095,0.15,0,69.0,0.0,0.7,1.74,0.0,8,120,10,0.59,1.1,0.07,150,1075,0,0,0.0,62.6
"Fish, NS as to type, raw",Fish,109,18.13,0.0,0.0,0.0,3.57,0.763,1.232,0.689,49,0.053,0.088,4.897,0.349,0,73.8,0.0,5.6,0.5,0.0,9,235,24,0.36,0.38,0.054,310,88,0,0,0.0,78.42
"Fish, NS as to type, cooked, NS as to cooking method",Fish,166,22.17,0.1,0.04,0.0,8.14,1.449,3.086,2.396,59,0.058,0.103,5.688,0.384,0,90.3,0.5,6.8,1.05,0.0,11,287,29,0.45,0.47,0.067,380,420,0,0,0.0,68.93
"Fish, NS as to type, baked or broiled, made with oil",Fish,166,22.17,0.1,0.04,0.0,8.14,1.449,3.086,2.396,59,0.058,0.103,5.688,0.384,0,90.3,0.5,6.8,1.05,0.0,11,287,29,0.45,0.47,0.067,380,420,0,0,0.0,68.93
"Fish, NS as to type, baked or broiled, made with butter",Fish,160,22.2,0.1,0.04,0.0,7.43,2.871,2.299,0.957,68,0.058,0.104,5.69,0.384,0,91.0,0.5,6.8,0.7,0.0,12,288,29,0.44,0.47,0.067,381,444,0,0,0.0,69.54
"Fish, NS as to type, baked or broiled, made with margarine",Fish,155,22.17,0.13,0.04,0.0,6.82,1.418,2.42,1.82,59,0.059,0.104,5.689,0.49,0,90.7,0.5,7.0,1.29,0.0,12,288,29,0.44,0.47,0.067,381,446,0,0,0.0,70.15
"Fish, NS as to type, baked or broiled, no added fat",Fish,137,22.84,0.1,0.04,0.0,4.5,0.961,1.551,0.868,61,0.06,0.106,5.86,0.396,0,93.0,0.5,7.0,0.63,0.0,12,296,30,0.46,0.48,0.069,391,433,0,0,0.0,71.88
"Fish, NS as to type, baked or broiled, made with cooking spray",Fish,140,22.75,0.2,0.04,0.0,4.87,0.982,1.793,0.974,61,0.06,0.106,5.838,0.394,0,92.7,0.5,7.0,0.62,0.0,12,295,30,0.46,0.48,0.068,390,431,0,0,0.0,71.49
"Fish, NS as to type, coated, baked or broiled, made with oil",Fish,219,19.21,12.51,1.1,0.6,9.81,1.748,3.697,3.21,46,0.162,0.161,5.27,0.311,13,72.8,0.0,5.4,1.15,0.0,40,253,29,1.11,0.58,0.083,333,380,0,0,0.0,57.61
"Fish, NS as to type, coated, baked or broiled, made with butter",Fish,209,19.26,12.51,1.1,0.6,8.73,3.918,2.496,1.014,59,0.162,0.163,5.273,0.311,13,73.8,0.0,5.4,0.61,0.0,41,255,29,1.1,0.58,0.083,334,417,0,0,0.0,58.54
"Fish, NS as to type, coated, baked or broiled, made with margarine",Fish,201,19.22,12.56,1.1,0.6,7.8,1.701,2.681,2.332,46,0.162,0.163,5.271,0.473,13,73.4,0.0,5.6,1.52,0.0,40,254,29,1.1,0.58,0.083,334,420,0,0,0.0,59.47
"Fish, NS as to type, coated, baked or broiled, no added fat",Fish,176,20.11,13.1,1.15,0.6,4.25,1.006,1.346,0.878,49,0.17,0.169,5.518,0.326,14,76.2,0.0,5.6,0.5,0.0,41,265,30,1.15,0.61,0.087,348,398,0,0,0.0,61.65
"Fish, NS as to type, coated, baked or broiled, made with cooking spray",Fish,179,20.05,13.14,1.14,0.6,4.54,1.022,1.535,0.961,48,0.169,0.168,5.501,0.325,14,75.9,0.0,5.6,0.5,0.0,41,265,30,1.15,0.6,0.086,347,397,0,0,0.0,61.38
"Fish, NS as to type, coated, fried, made with oil",Fish,237,18.47,9.85,0.88,0.6,13.37,2.301,5.184,4.636,76,0.14,0.163,4.997,0.298,7,88.4,0.0,5.0,1.56,0.0,38,242,27,1.15,0.65,0.088,304,406,0,0,0.0,57.35
"Fish, NS as to type, coated, fried, made with butter",Fish,222,18.55,9.86,0.88,0.6,11.73,5.585,3.366,1.312,95,0.14,0.165,5.0,0.298,7,90.0,0.0,5.0,0.74,0.0,40,244,28,1.14,0.65,0.088,307,462,0,0,0.0,58.76
"Fish, NS as to type, coated, fried, made with margarine",Fish,210,18.49,9.93,0.88,0.6,10.33,2.23,3.646,3.307,77,0.14,0.165,4.998,0.543,7,89.3,0.0,5.3,2.11,0.0,40,243,28,1.13,0.65,0.088,307,466,0,0,0.0,60.16
"Fish, NS as to type, coated, fried, no added fat",Fish,188,21.74,11.6,1.03,0.7,5.49,1.305,1.806,1.233,90,0.164,0.191,5.881,0.351,8,104.0,0.0,5.8,0.63,0.0,45,284,32,1.33,0.76,0.104,358,478,0,0,0.0,60.05
"Fish, NS as to type, coated, fried, made with cooking spray",Fish,191,21.68,11.64,1.03,0.7,5.78,1.321,1.998,1.317,90,0.164,0.191,5.862,0.349,8,103.7,0.0,5.8,0.62,0.0,45,283,32,1.33,0.76,0.104,357,476,0,0,0.0,59.78
