Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Soft drink, cola, reduced sugar",Soft drinks,20,0.0,5.16,5.16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,2,11,0,0.02,0.01,0.0,3,4,9,0,0.0,94.78
"Soft drink, cola, diet",Diet soft drinks,2,0.11,0.29,0.0,0.0,0.03,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,9,1,0.11,0.01,0.002,8,8,12,0,0.0,99.54
"Soft drink, cola, decaffeinated",Soft drinks,41,0.0,10.58,10.58,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,2,11,0,0.02,0.01,0.0,3,4,0,0,0.0,89.62
"Soft drink, cola, decaffeinated, diet",Diet soft drinks,1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,10,0,0.02,0.01,0.002,7,4,0,0,0.0,99.74
"Soft drink, pepper type",Soft drinks,42,0.0,10.36,9.94,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,1,9,0,0.02,0.09,0.007,5,3,9,0,0.0,89.36
"Soft drink, pepper type, diet",Diet soft drinks,2,0.11,0.29,0.0,0.0,0.03,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,9,1,0.11,0.01,0.002,8,8,12,0,0.0,99.54
"Soft drink, pepper type, decaffeinated",Soft drinks,41,0.0,10.58,10.58,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,2,11,0,0.02,0.01,0.0,3,4,0,0,0.0,89.62
"Soft drink, pepper type, decaffeinated, diet",Diet soft drinks,1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,10,0,0.02,0.01,0.002,7,4,0,0,0.0,99.74
"Soft drink, cream soda",Soft drinks,51,0.0,13.3,13.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,0,1,0.05,0.07,0.008,1,12,0,0,0.0,86.7
"Soft drink, cream soda, diet",Diet soft drinks,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.04,0.0,0.025,2,6,0,0,0.0,99.8
"Soft drink, fruit flavored, caffeine free",Soft drinks,40,0.05,10.14,8.98,0.0,0.02,0.0,0.0,0.0,0,0.0,0.0,0.015,0.0,0,0.4,0.0,0.0,0.0,0.0,2,0,1,0.11,0.04,0.001,1,9,0,0,0.0,89.78
"Soft drink, fruit flavored, diet, caffeine free",Diet soft drinks,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.04,0.0,0.025,2,6,0,0,0.0,99.8
"Soft drink, fruit flavored, caffeine containing",Soft drinks,49,0.0,12.83,12.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.015,0.0,0,0.4,0.0,0.0,0.0,0.0,2,0,1,0.11,0.04,0.001,2,18,15,0,0.0,86.89
"Soft drink, fruit flavored, caffeine containing, diet",Diet soft drinks,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.04,0.0,0.025,2,6,15,0,0.0,99.8
"Soft drink, ginger ale",Soft drinks,34,0.0,8.76,8.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.18,0.05,0.018,1,7,0,0,0.0,91.23
"Soft drink, ginger ale, diet",Diet soft drinks,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.04,0.0,0.025,2,6,0,0,0.0,99.8
"Soft drink, root beer",Soft drinks,41,0.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,5,0,1,0.05,0.07,0.007,1,13,0,0,0.0,89.3
"Soft drink, root beer, diet",Diet soft drinks,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.04,0.0,0.025,2,6,0,0,0.0,99.8
"Soft drink, chocolate flavored",Soft drinks,42,0.0,10.7,10.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,4,1,1,0.1,0.16,0.013,50,4,2,63,0.0,89.2
"Soft drink, chocolate flavored, diet",Diet soft drinks,2,0.11,0.29,0.0,0.0,0.03,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,9,1,0.11,0.01,0.002,8,8,12,0,0.0,99.54
"Soft drink, cola, fruit or vanilla flavored",Soft drinks,42,0.0,10.36,9.94,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,1,9,0,0.02,0.09,0.007,5,3,9,0,0.0,89.36
"Soft drink, cola, chocolate flavored",Soft drinks,42,0.0,10.36,9.94,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,1,9,0,0.02,0.09,0.007,5,3,9,0,0.0,89.36
"Soft drink, cola, fruit or vanilla flavored, diet",Diet soft drinks,2,0.11,0.29,0.0,0.0,0.03,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,9,1,0.11,0.01,0.002,8,8,12,0,0.0,99.54
