Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"Chocolate milk, made from sugar free syrup with reduced fat milk","Flavored milk, reduced fat",49,3290,6080,4310,400,1920,1064,7,0.144,0,16.1,0.2,0.03,110,104,20,188,77,2,51,0,87820
"Chocolate milk, made from sugar free syrup with low fat milk","Flavored milk, lowfat",43,3320,6320,4370,400,1080,590,4,0.145,0,15.4,0,0.02,110,104,20,188,77,2,51,0,88340
"Chocolate milk, made from sugar free syrup with fat free milk","Flavored milk, nonfat",35,3360,6060,4450,400,320,136,3,0.15,0,16.1,0,0,115,108,20,195,79,2,51,0,89310
"Chocolate milk, made from sugar free syrup with non-dairy milk",Milk substitutes,37,1660,6220,3720,500,1310,217,0,0.262,0,11.8,0,1.23,131,37,18,130,94,2,51,0,89940
"Hot chocolate / Cocoa, made with dry mix and water","Flavored milk, nonfat",54,910,11400,8930,500,550,324,0,0.08,0,4.5,0,0.03,21,43,12,97,72,2,44,0,86500
"Hot chocolate / Cocoa, made with dry mix and whole milk","Flavored milk, whole",105,3730,15160,12870,500,3310,1929,10,0.169,0,19.1,0,0.07,124,129,21,225,100,2,43,0,76610
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk","Flavored milk, reduced fat",96,3790,15370,12940,500,2180,1278,7,0.175,0,19.4,0.2,0.05,127,131,21,232,101,2,43,0,77470
"Hot chocolate / Cocoa, made with dry mix and low fat milk","Flavored milk, lowfat",90,3820,15610,13000,500,1360,808,4,0.176,0,18.7,0,0.04,127,131,21,232,101,2,43,0,78000
"Hot chocolate / Cocoa, made with dry mix and fat free milk","Flavored milk, nonfat",82,3860,15350,13080,500,600,358,3,0.18,0,19.4,0,0.02,132,135,22,239,102,2,43,0,78950
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",Milk substitutes,84,2180,15470,12310,700,1570,436,0,0.291,0,15.9,0,1.24,148,64,20,175,117,2,43,0,79630
"Hot chocolate / Cocoa, made with no sugar added dry mix and water","Flavored milk, nonfat",31,1280,5940,3110,600,250,147,0,0.09,0,9.5,0,0,50,74,18,224,75,2,54,0,91920
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","Flavored milk, whole",85,4260,10080,7450,600,3180,1853,11,0.184,0,24.8,0,0.05,159,165,28,355,105,2,53,0,81290
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","Flavored milk, reduced fat",76,4330,10300,7520,600,1990,1164,7,0.19,0,25.2,0.2,0.03,162,167,28,363,106,2,53,0,82210
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","Flavored milk, lowfat",70,4350,10560,7590,600,1120,665,5,0.191,0,24.5,0,0.02,162,167,28,363,106,2,53,0,82760
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","Flavored milk, nonfat",62,4400,10280,7670,600,320,188,3,0.196,0,25.2,0,0,168,170,28,371,108,2,53,0,83770
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",Milk substitutes,64,2610,10430,6880,800,1350,272,0,0.313,0,21.4,0,1.3,184,95,26,302,124,2,53,0,84470
"Milk, malted","Flavored milk, reduced fat",64,3200,8670,7820,0,1910,1114,8,0.89,0,17.2,2.4,0.56,159,98,21,150,60,0,0,0,85250
Eggnog,Milk shakes and other dairy drinks,88,4550,8050,8050,0,4190,2591,59,0.105,0,52.2,1.5,0.21,130,109,19,165,54,0,0,0,82540
"Milk shake, home recipe, chocolate",Milk shakes and other dairy drinks,119,3480,13550,12570,500,6140,3725,20,0.151,0,19.6,0.3,0.14,118,103,18,187,52,1,23,0,75870
"Milk shake, home recipe, flavors other than chocolate",Milk shakes and other dairy drinks,112,3360,11410,10660,200,5980,3616,23,0.109,0,20.7,0.2,0.14,125,102,13,167,53,0,0,0,78450
"Milk shake, home recipe, chocolate, light",Milk shakes and other dairy drinks,97,3990,12930,12420,300,3310,2007,14,0.118,0,18.2,0.5,0.09,138,95,15,163,51,1,26,0,79030
"Milk shake, home recipe, flavors other than chocolate, light",Milk shakes and other dairy drinks,92,3880,13840,11070,100,2330,1408,13,0.121,0,20.5,0.4,0.06,138,103,13,176,51,0,0,0,79070
Milk shake with malt,Milk shakes and other dairy drinks,124,3770,13660,12040,200,6110,3659,23,0.302,0,22.1,0.3,0.15,131,112,16,190,66,0,0,0,75570
"Milk shake, fast food, chocolate",Milk shakes and other dairy drinks,150,3700,20360,13390,1600,6660,4044,23,0.252,0,27,0,0.25,115,111,23,193,80,5,41,0,68320
"Milk shake, fast food, flavors other than chocolate",Milk shakes and other dairy drinks,148,3370,19590,13630,900,6520,3962,23,0.213,0,27.3,0,0.25,115,98,13,166,81,0,0,0,69650
"Milk shake, bottled, chocolate",Milk shakes and other dairy drinks,150,3700,20360,13390,1600,6660,4044,23,0.252,0,27,0,0.25,115,111,23,193,80,5,41,0,68320
"Milk shake, bottled, flavors other than chocolate",Milk shakes and other dairy drinks,148,3370,19590,13630,900,6520,3962,23,0.213,0,27.3,0,0.25,115,98,13,166,81,0,0,0,69650
Licuado or Batido,Smoothies and grain drinks,71,2400,13100,10860,700,1380,758,5,0.242,0,13.9,9.9,0.08,83,72,14,184,25,0,0,0,82440
"Fruit smoothie, NFS",Smoothies and grain drinks,63,2400,11650,8230,1200,1070,570,4,0.311,0,11.8,9,0.16,81,68,14,180,28,0,0,0,84220
"Fruit smoothie, with whole fruit and dairy",Smoothies and grain drinks,63,2400,11660,8230,1200,1070,570,4,0.311,0,11.8,9,0.16,81,68,14,180,28,0,0,0,84220
"Fruit smoothie, with whole fruit and dairy, added protein",Smoothies and grain drinks,77,7380,9710,7140,1100,1210,649,5,0.312,0,25.5,8.4,0.16,116,154,23,174,40,0,0,0,80440
"Fruit smoothie juice drink, with dairy",Smoothies and grain drinks,65,860,15050,12680,900,140,0,1,0.217,0,4,5.2,0.03,20,11,11,131,14,0,0,0,83610
Chocolate milk drink,Milk shakes and other dairy drinks,49,640,10680,8680,600,400,310,0,0.106,0,3.3,2,0.01,100,24,11,79,91,1,50,0,87630
"Milk, dry, not reconstituted, NS as to fat content",Not included in a food category,362,36160,51980,51980,0,770,499,20,0.951,0,169.2,6.8,0,1257,968,110,1794,535,0,0,0,3160
"Milk, dry, not reconstituted, whole",Not included in a food category,496,26320,38420,38420,0,26710,16742,97,0.646,0,119.3,8.6,0.58,912,776,85,1330,371,0,0,0,2470
"Milk, dry, not reconstituted, low fat (1%)",Not included in a food category,367,35800,51460,51460,0,1750,1107,22,0.942,0,167.7,6.7,0.03,1245,958,109,1776,530,0,0,0,3130
"Milk, dry, not reconstituted, fat free (skim)",Not included in a food category,362,36160,51980,51980,0,770,499,20,0.951,0,169.2,6.8,0,1257,968,110,1794,535,0,0,0,3160
"Whey, sweet, dry",Not included in a food category,353,12930,74460,74460,0,1070,684,6,1.258,0,225,1.5,0.02,796,932,176,2080,1079,0,0,0,3190
"Cocoa powder, not reconstituted",Not included in a food category,228,19600,57900,1750,37000,13700,8070,0,2.185,0,12,0,0.1,128,734,499,1524,21,230,2057,0,3000
"Chocolate beverage powder, dry mix, not reconstituted",Not included in a food category,400,4550,90280,81820,4500,2270,2273,0,0.199,0,3.3,27.3,0.04,455,86,53,280,136,8,277,0,1100
"Chocolate beverage powder, light, dry mix, not reconstituted",Not included in a food category,350,9090,68310,27270,9100,4500,0,0,25.6,0,266.9,54.5,0,909,500,410,1705,500,1,0,0,7400
"Milk, malted, dry mix, not reconstituted",Not included in a food category,372,0,92960,72730,0,0,0,0,18.182,0,0,54.5,12.27,909,0,218,0,530,0,0,0,1280
"Cream, NS as to light, heavy, or half and half",Cream and cream substitutes,131,3130,4300,4130,0,11500,7032,35,0.109,0,18.7,0.9,0.25,107,95,10,132,61,0,0,0,80570
"Cream, light",Cream and cream substitutes,195,2960,3660,3670,0,19100,10176,59,0.09,0,17.4,0.8,0.12,91,92,9,136,72,0,0,0,73750
"Cream, half and half",Cream and cream substitutes,131,3130,4300,4130,0,11500,7032,35,0.109,0,18.7,0.9,0.25,107,95,10,132,61,0,0,0,80570
"Cream, half and half, flavored",Cream and cream substitutes,130,3070,4500,4330,0,11280,6894,34,0.109,0,18.3,0.9,0.24,105,93,10,129,60,0,0,0,80670
"Cream, half and half, fat free",Cream and cream substitutes,59,2600,9000,5000,0,1400,841,5,0.124,0,15,0.7,0.04,96,151,16,206,100,0,0,0,86000
"Cream, heavy",Cream and cream substitutes,340,2840,2840,2920,0,36080,23032,113,0.064,0,16.8,0.6,0.92,66,58,7,95,27,0,0,0,57710
"Cream, whipped","Cream cheese, sour cream, whipped cream",343,2670,8590,8550,0,33940,21666,106,0.06,0,15.8,0.6,0.86,62,55,7,89,26,0,0,0,54300
"Coffee creamer, NFS",Cream and cream substitutes,136,1000,11380,11380,0,9970,1937,0,0,0,0,0,0.81,9,64,0,191,67,0,0,0,77270
"Coffee creamer, liquid",Cream and cream substitutes,136,1000,11380,11380,0,9970,1937,0,0,0,0,0,0.81,9,64,0,191,67,0,0,0,77270
"Coffee creamer, liquid, flavored",Cream and cream substitutes,251,690,35070,33040,1100,13500,2635,0,0.091,0,0.5,0,1.58,6,28,19,96,67,3,100,0,50060
"Coffee creamer, liquid, fat free",Cream and cream substitutes,71,800,9100,9100,0,3500,896,0,0,0,0,0,0.28,1,75,0,177,60,0,0,0,86200
"Coffee creamer, liquid, fat free, flavored",Cream and cream substitutes,150,600,31720,31780,0,2700,672,0,0,0,0,0,0.21,1,56,0,133,45,0,0,0,64660
"Coffee creamer, liquid, fat free, sugar free, flavored",Cream and cream substitutes,71,800,9100,9100,0,3500,896,0,0,0,0,0,0.28,1,75,0,177,60,0,0,0,86200
"Coffee creamer, liquid, sugar free, flavored",Cream and cream substitutes,71,800,9100,9100,0,3500,896,0,0,0,0,0,0.28,1,75,0,177,60,0,0,0,86200
"Coffee creamer, powder",Cream and cream substitutes,529,2480,59290,7770,0,32920,19146,0,0,0,2.3,0,1.26,2,288,1,669,124,0,0,0,2980
"Coffee creamer, powder, flavored",Cream and cream substitutes,482,680,75420,58010,1200,21470,19446,0,0.084,0,0.5,0,0.41,5,28,17,90,123,3,92,0,1520
"Coffee creamer, powder, fat free",Cream and cream substitutes,431,1900,73400,73400,0,15700,3800,0,0,0,2.3,0,0.26,1,136,0,902,229,0,0,0,6200
"Coffee creamer,powder, fat free, flavored",Cream and cream substitutes,431,1900,73400,73400,0,15700,3800,0,0,0,2.3,0,0.26,1,136,0,902,229,0,0,0,6200
"Coffee creamer,powder, sugar free, flavored",Cream and cream substitutes,529,2480,59290,7770,0,32920,19146,0,0,0,2.3,0,1.26,2,288,1,669,124,0,0,0,2980
"Coffee creamer, soy, liquid",Cream and cream substitutes,136,1000,11380,11380,0,9970,1937,0,0,0,0,0,0.81,9,64,0,191,67,0,0,0,77270
Whipped topping,"Cream cheese, sour cream, whipped cream",318,1250,23050,23050,0,25310,21783,0,0,0,0,0,0.96,6,8,2,18,25,0,0,0,50210
"Whipped topping, fat free","Cream cheese, sour cream, whipped cream",224,3000,23600,23600,0,13100,11273,2,0.1,0,0,0,0.5,71,74,7,101,72,0,0,0,59700
"Whipped topping, sugar free","Cream cheese, sour cream, whipped cream",224,3000,23600,23600,0,13100,11273,2,0.1,0,0,0,0.5,71,74,7,101,72,0,0,0,59700
"Sour cream, regular","Cream cheese, sour cream, whipped cream",198,2440,4630,3410,0,19350,10140,59,0.093,0,19.2,0.9,0.38,101,76,10,125,31,0,0,0,73070
"Sour cream, light","Cream cheese, sour cream, whipped cream",136,3500,7100,220,0,10600,6600,35,0.07,0,19.2,0.9,0.3,141,71,10,212,83,0,0,0,78100
"Sour cream, fat free","Cream cheese, sour cream, whipped cream",74,3100,15600,390,0,0,0,9,0.07,0,19.2,0,0,125,95,10,129,141,0,0,0,80600
"Sour cream, imitation","Cream cheese, sour cream, whipped cream",208,2400,6630,6630,0,19520,17791,0,0,0,0,0,0.74,3,45,6,161,102,0,0,0,71150
"Dip, NFS","Dips, gravies, other sauces",433,2240,3490,2480,300,45840,10652,50,0.15,0,28,1.7,1.86,76,60,10,112,708,0,0,0,46070
"Chipotle dip, regular","Dips, gravies, other sauces",427,1690,2700,2040,0,45740,10604,49,0.069,0,26.1,3.2,1.79,54,48,6,77,699,0,0,0,47690
"Chipotle dip, light","Dips, gravies, other sauces",194,1820,13200,7360,0,15150,4630,24,0.06,0,13.2,3.1,1.16,68,40,6,118,598,0,0,0,68090
"Dill dip, regular","Dips, gravies, other sauces",430,1920,3120,2050,300,45780,10617,49,0.143,0,26.9,1.7,1.86,65,52,9,98,703,0,0,0,46890
"Dill dip, light","Dips, gravies, other sauces",197,2040,13600,7370,300,15190,4643,24,0.13,0,14,1.6,1.23,79,44,9,138,602,0,0,0,67330
"Onion dip, regular","Dips, gravies, other sauces",346,1910,3570,2650,200,36270,8518,40,0.062,0,23.7,0.9,1.4,63,55,7,92,556,0,0,0,56400
"Onion dip, light","Dips, gravies, other sauces",165,2000,11880,6850,100,12340,3854,20,0.055,0,13.5,0.9,0.92,74,49,7,125,481,0,0,0,72270
"Ranch dip, regular","Dips, gravies, other sauces",433,2240,3490,2480,300,45840,10652,50,0.15,0,28,1.7,1.86,76,60,10,112,708,0,0,0,46070
"Ranch dip, light","Dips, gravies, other sauces",200,2350,13950,7780,200,15250,4675,24,0.137,0,15,1.6,1.23,89,52,10,152,607,0,0,0,66550
"Spinach dip, regular","Dips, gravies, other sauces",345,2110,3100,2310,300,36330,8527,40,0.086,0,25,0.5,1.67,73,57,12,102,563,0,0,0,56540
"Spinach dip, light","Dips, gravies, other sauces",164,2200,11420,6530,300,12390,3862,20,0.078,0,14.8,0.5,1.18,84,50,12,134,488,0,0,0,72400
"Vegetable dip, regular","Dips, gravies, other sauces",430,1920,3120,2050,300,45780,10617,49,0.143,0,26.9,1.7,1.86,65,52,9,98,703,0,0,0,46890
"Vegetable dip, light","Dips, gravies, other sauces",197,2040,13600,7370,300,15190,4643,24,0.13,0,14,1.6,1.23,79,44,9,138,602,0,0,0,67330
"Ice cream, NFS",Ice cream and frozen dairy desserts,221,3570,26360,22860,800,11300,6863,42,0.154,0.001,25.3,0.6,0.39,124,106,16,203,90,1,12,0,57810
"Ice cream, vanilla",Ice cream and frozen dairy desserts,207,3500,23600,21220,700,11000,6790,44,0.116,0,26,0.6,0.3,128,105,14,199,80,0,0,0,61000
"Ice cream, vanilla, with additional ingredients",Ice cream and frozen dairy desserts,242,3670,30510,25330,1000,11760,6972,38,0.212,0.002,24.2,0.6,0.52,118,107,19,209,105,1,30,0,53040
"Ice cream, chocolate",Ice cream and frozen dairy desserts,216,3800,28200,25360,1200,11000,6800,34,0.226,0,22.5,0.7,0.3,109,107,29,249,76,3,62,0,55700
"Ice cream, chocolate, with additional ingredients",Ice cream and frozen dairy desserts,249,3930,34390,28820,1500,11760,6980,30,0.305,0.002,21.3,0.6,0.52,102,108,32,251,102,4,82,0,48560
"Ice cream, soft serve, vanilla",Ice cream and frozen dairy desserts,180,4780,29460,22120,300,4830,2927,27,0.136,0,26,1.2,0.12,161,103,14,208,74,0,0,0,59850
"Ice cream, soft serve, chocolate",Ice cream and frozen dairy desserts,187,5000,25700,24710,800,7190,4380,28,0.126,0,19.6,1.2,0.2,159,83,20,170,71,2,69,0,61430
"Gelato, vanilla",Ice cream and frozen dairy desserts,249,3500,22290,20650,0,16200,10329,92,0.082,0,26,0,0.51,117,105,11,157,61,0,0,0,57200
"Gelato, chocolate",Ice cream and frozen dairy desserts,251,4720,19780,17350,900,16980,10377,60,0.182,0,34.7,0.5,0.46,142,115,32,238,57,4,120,0,57520
"Ice cream bar, vanilla",Ice cream and frozen dairy desserts,358,2110,37120,21050,1100,25260,17895,16,0.548,0,45,0,2.25,63,57,11,71,84,0,0,0,35480
"Ice cream bar, vanilla, chocolate coated",Ice cream and frozen dairy desserts,331,4100,24500,18300,800,24100,13202,28,0.175,0,29.7,0,0.42,119,173,28,305,68,3,32,0,46300
Ice cream candy bar,Ice cream and frozen dairy desserts,323,4400,30900,30000,600,20200,12658,1,0.96,0,29.7,0.7,0.42,252,114,29,238,92,3,32,0,43100
"Ice cream bar, chocolate",Ice cream and frozen dairy desserts,329,4410,25170,17970,1500,23890,13099,27,0.215,0,29.3,0,0.41,119,184,37,329,67,8,72,0,45430
"Ice cream sandwich, vanilla",Ice cream and frozen dairy desserts,264,4280,35880,25270,1400,11800,6153,34,0.802,0.01,23.1,0.4,0.4,104,112,24,202,205,2,88,0,46880
"Ice cream sandwich, chocolate",Ice cream and frozen dairy desserts,270,4500,39330,28380,1800,11800,6160,26,0.884,0.01,20.4,0.5,0.4,90,113,35,239,202,5,135,0,42900
Ice cream cookie sandwich,Ice cream and frozen dairy desserts,317,4610,43350,26450,1700,14110,6417,24,0.956,0.022,16.5,0.3,0.83,70,86,22,170,232,6,47,0,36860
"Ice cream cone, scooped, vanilla",Ice cream and frozen dairy desserts,215,3680,25820,20610,800,10840,6567,42,0.288,0.007,25.3,0.6,0.32,124,105,14,196,87,0,0,0,58770
"Ice cream cone, scooped, vanilla, waffle cone",Ice cream and frozen dairy desserts,218,3760,27160,21480,800,10580,6424,41,0.407,0.008,25,0.6,0.29,123,105,15,196,93,0,0,0,57590
"Ice cream cone, NFS",Ice cream and frozen dairy desserts,229,3750,28470,22190,900,11130,6637,40,0.325,0.007,24.7,0.6,0.4,120,105,16,199,97,1,12,0,55710
"Ice cream cone, scooped, chocolate",Ice cream and frozen dairy desserts,224,3970,30230,24590,1300,10840,6577,33,0.394,0.007,22,0.7,0.32,106,107,29,244,83,3,60,0,53680
"Ice cream cone, scooped, chocolate, waffle cone",Ice cream and frozen dairy desserts,227,4040,31490,25380,1200,10580,6434,32,0.511,0.008,21.7,0.7,0.29,105,107,29,243,89,3,58,0,52600
"Ice cream cone, soft serve, vanilla",Ice cream and frozen dairy desserts,189,4910,31440,21480,400,4910,2859,26,0.308,0.007,25.3,1.2,0.15,156,103,14,204,81,0,0,0,57670
"Ice cream cone, soft serve, chocolate",Ice cream and frozen dairy desserts,196,5120,27830,23960,900,7180,4254,27,0.298,0.007,19.2,1.2,0.22,154,84,20,168,78,2,66,0,59180
"Ice cream cone, soft serve, vanilla, waffle cone",Ice cream and frozen dairy desserts,193,4960,32670,22330,400,4770,2789,25,0.426,0.008,25,1.1,0.12,154,103,15,204,87,0,0,0,56510
"Ice cream cone, soft serve, chocolate, waffle cone",Ice cream and frozen dairy desserts,200,5170,29140,24770,900,6990,4156,26,0.417,0.008,18.9,1.1,0.19,152,84,21,169,84,2,65,0,57990
"Ice cream cone, vanilla, prepackaged",Ice cream and frozen dairy desserts,354,5210,34380,25000,1000,21880,11458,21,0.829,0.016,23.8,0,0.18,63,108,29,222,94,7,56,0,37430
"Ice cream cone, chocolate, prepackaged",Ice cream and frozen dairy desserts,353,5350,34620,24770,1400,21800,11424,21,0.843,0.016,23.7,0,0.18,64,114,34,235,93,9,76,0,37090
"Ice cream soda, flavors other than chocolate",Milk shakes and other dairy drinks,85,920,14020,13400,200,2900,1787,12,0.031,0,7.1,0.2,0.08,37,28,4,53,31,0,0,0,81850
"Ice cream soda, chocolate",Milk shakes and other dairy drinks,87,1000,15230,14480,300,2900,1789,9,0.059,0,6.1,0.2,0.08,32,28,8,66,30,1,16,0,80460
"Ice cream sundae, NFS",Ice cream and frozen dairy desserts,243,3720,31920,23890,1100,11170,6579,36,0.144,0,21.2,0.5,0.83,109,102,21,215,138,2,55,0,52100
"Ice cream sundae, fruit topping",Ice cream and frozen dairy desserts,221,2740,32670,22240,700,9220,5695,36,0.124,0,22.1,3.5,0.27,99,81,12,163,65,0,0,0,54590
Banana split,Ice cream and frozen dairy desserts,197,2530,32530,23290,1300,6900,4121,24,0.254,0,17.2,3.6,0.42,74,69,18,220,98,1,20,0,57120
"Ice cream sundae, hot fudge topping",Ice cream and frozen dairy desserts,243,3720,31920,23890,1100,11170,6579,36,0.144,0,21.2,0.5,0.83,109,102,21,215,138,2,55,0,52100
"Ice cream sundae, caramel topping",Ice cream and frozen dairy desserts,213,2970,30610,28820,500,9190,5694,36,0.089,0,21.4,0.6,0.26,109,89,12,166,136,0,0,0,56290
"Ice cream, fried",Ice cream and frozen dairy desserts,282,3940,32770,20900,1200,15160,6674,34,0.934,0.014,20.9,0.5,0.81,112,115,18,184,159,0,0,0,47120
"Light ice cream, NFS",Ice cream and frozen dairy desserts,174,4380,25440,14290,200,6140,3488,27,0.105,0,24.5,1,0.2,148,89,12,202,85,0,0,0,62680
"Light ice cream, vanilla",Ice cream and frozen dairy desserts,174,4380,25440,14290,200,6140,3488,27,0.105,0,24.5,1,0.2,148,89,12,202,85,0,0,0,62680
"Light ice cream, chocolate",Ice cream and frozen dairy desserts,180,4270,26240,15180,800,6460,3995,22,0.118,0,15.6,1,0.25,140,94,18,183,73,1,37,0,62210
"Soft serve, blended with candy or cookies, from fast food",Ice cream and frozen dairy desserts,176,4000,26180,22780,200,6060,3194,16,0.202,0.002,19.5,0.8,0.08,132,114,16,203,64,1,28,0,62820
"Light ice cream sandwich, vanilla",Ice cream and frozen dairy desserts,239,4930,37260,20080,1000,8150,3676,21,0.793,0.01,22,0.8,0.33,119,100,22,204,209,2,88,0,48140
"Light ice cream sandwich, chocolate",Ice cream and frozen dairy desserts,243,4850,37860,20740,1500,8400,4056,17,0.803,0.01,15.3,0.7,0.37,113,104,26,190,200,3,116,0,47780
"Light ice cream bar, vanilla",Ice cream and frozen dairy desserts,236,3230,18760,10540,100,16650,13057,20,0.077,0,18.1,0.8,0.16,110,66,9,149,64,0,0,0,60360
"Light ice cream bar, vanilla, chocolate coated",Ice cream and frozen dairy desserts,236,3390,19150,10450,500,16620,13007,20,0.098,0,18,0.8,0.16,110,72,14,163,63,2,21,0,59790
"Light ice cream bar, chocolate",Ice cream and frozen dairy desserts,240,3310,19740,11100,1000,16860,13377,16,0.108,0,11.6,0.7,0.19,104,76,18,149,55,3,48,0,59440
Creamsicle,Ice cream and frozen dairy desserts,165,1540,32750,18460,0,3080,1813,8,0.113,0,20.4,13.8,0.09,62,84,12,174,46,0,0,0,61770
"Creamsicle, light",Ice cream and frozen dairy desserts,51,1100,11660,3340,1800,0,0,0,0.018,0,5.8,7.8,0,37,19,3,57,35,0,0,0,86900
Fudgesicle,Ice cream and frozen dairy desserts,161,2560,29990,17470,1000,3670,2696,1,0.122,0,8.2,0,0.21,162,112,19,177,104,3,93,0,62680
"Light ice cream cone, vanilla, prepackaged",Ice cream and frozen dairy desserts,223,5410,34230,16400,700,7300,3290,22,1.135,0.016,22.8,0.8,0.45,128,99,21,212,133,0,12,0,51650
"Light ice cream cone, chocolate, prepackaged",Ice cream and frozen dairy desserts,227,5320,34870,17110,1300,7560,3695,18,1.145,0.016,15.8,0.8,0.49,121,104,25,197,124,1,42,0,51270
"Sherbet, all flavors",Ice cream and frozen dairy desserts,144,1100,30400,24320,1300,2000,1160,1,0.063,0,7.7,2.3,0.01,54,40,8,96,46,0,0,0,66100
"Fudgesicle, light",Ice cream and frozen dairy desserts,124,3670,23110,5100,1500,1870,984,2,0.175,0,11.7,0,0.3,231,160,27,253,96,4,133,0,69930
"Pudding, chocolate, NFS",Pudding,142,2090,23010,17170,0,4600,1263,1,0.123,0,9.5,0.3,0.31,51,56,18,184,152,2,70,0,69460
"Pudding, bread",Pudding,155,5630,23520,15130,1000,4710,1635,55,0.803,0.009,42,0.2,0.38,135,121,18,212,212,0,0,0,64760
"Pudding, flavors other than chocolate, NFS",Pudding,130,1450,22600,16970,0,3780,1016,1,0.057,0,6.2,0.2,0.3,49,41,4,65,172,0,0,0,71660
Custard,Pudding,95,5110,10960,10930,0,3430,1560,73,0.107,0,53.3,0,0.21,119,124,13,160,86,0,0,0,79580
Flan,Pudding,174,5270,28180,28140,0,4830,2222,102,0.078,0,66.1,0.4,0.31,97,113,11,130,167,0,0,0,60680
Creme brulee,Pudding,110,4080,17870,17880,0,2660,1309,41,0.103,0,33.1,0,0.12,116,109,12,151,75,0,0,0,74550
"Pudding, rice",Pudding,108,3230,18390,11590,300,2150,1208,12,0.217,0,7.8,1.3,0.07,95,82,8,125,97,0,0,0,75150
"Firni, Indian pudding",Pudding,141,3580,25170,15660,300,3100,1491,9,0.584,0.016,11.5,0,0.25,100,95,14,136,30,0,0,0,67460
"Pudding, tapioca, made from dry mix",Pudding,130,1950,21690,14910,0,3880,962,1,0.065,0,6.2,0.3,0.15,71,60,6,92,145,0,0,0,71840
"Pudding, flavors other than chocolate, made from dry mix",Pudding,104,2790,19420,19430,0,1760,1043,7,0.093,0,15.1,0.1,0.03,107,202,10,133,264,0,0,0,74760
"Pudding, chocolate, made from dry mix",Pudding,112,3140,20350,16630,700,1980,1101,7,0.133,0,15.2,0.1,0.04,104,97,18,172,362,1,46,0,73040
"Pudding, flavors other than chocolate, made from dry mix, sugar free",Pudding,68,3190,9560,4660,0,1930,1101,8,0.104,0,16.9,0.1,0.04,127,236,12,149,257,0,0,0,84200
"Pudding, chocolate, made from dry mix, sugar free",Pudding,74,3490,10510,4570,500,2020,1150,8,0.132,0,16.8,0.1,0.03,126,223,18,243,254,1,36,0,82510
"Pudding, flavors other than chocolate, ready-to-eat",Pudding,130,1450,22600,16970,0,3780,1016,1,0.057,0,6.2,0.2,0.3,49,41,4,65,172,0,0,0,71660
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",Pudding,68,3190,9560,4660,0,1930,1101,8,0.104,0,16.9,0.1,0.04,127,236,12,149,257,0,0,0,84200
"Pudding, chocolate, ready-to-eat",Pudding,142,2090,23010,17170,0,4600,1263,1,0.123,0,9.5,0.3,0.31,51,56,18,184,152,2,70,0,69460
"Pudding, chocolate, ready-to-eat, sugar free",Pudding,74,3490,10510,4570,500,2020,1150,8,0.132,0,16.8,0.1,0.03,126,223,18,243,254,1,36,0,82510
"Pudding, tapioca, ready-to-eat",Pudding,130,1950,21690,14910,0,3880,962,1,0.065,0,6.2,0.3,0.15,71,60,6,92,145,0,0,0,71840
Banana pudding,Pudding,156,2680,27940,18790,900,4230,1208,35,0.55,0.005,27.5,2.3,0.26,42,58,12,158,129,0,0,0,64450
